nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Cameleon White Blend,,Domaine Bousquet,2020,14.0,3000.0,199.0,Argentina,Cuyo,Mendoza,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk och skaldjur.,"Fruktig, ungdomlig smak med inslag av päron, persika, gröna äpplen, örter, ananas och lime.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/cameleon-white-blend-251908,https://product-cdn.systembolaget.se/productimages/24502481/24502481,Chardonnay---Pinot grigio---Sauvignon blanc
Expedition Carmenère,,Sociedad Agricola Requingua Lta,2020,13.5,750.0,69.0,Chile,Valle Central,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- och nötkött.,"Mycket fruktig smak med inslag av fat, plommon, färska örter, svarta vinbär, viol, blåbär, peppar och choklad.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/expedition-carmenère-254301,https://product-cdn.systembolaget.se/productimages/24536978/24536978,Carmenère
Kingstate,White Blend,Åkesson Vin,2020,12.5,3000.0,199.0,Australien,South Eastern Australia,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till vegetariska rätter, eller till rätter, gärna grillade, av fisk och ljust kött.","Mycket fruktig smak med inslag av päron, mango, apelsinblommor, ananas och citrus.",0.0%,16.666666666666664%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/kingstate-627408,https://product-cdn.systembolaget.se/productimages/24494095/24494095,Colombard---Chardonnay
Istine,Chianti Classico,Istine,2018,14.0,750.0,159.0,Italien,Toscana,Chianti,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till rätter av lamm- och nötkött.,"Kryddig, nyanserad smak med fatkaraktär, inslag av mörka körsbär, salvia, plommon, kanel, skogshallon och kakao.",0.0%,0.0%,83.33333333333334%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/istine-230901,https://product-cdn.systembolaget.se/productimages/24528500/24528500,Sangiovese
Cuvée Prestige Rosé Millésime,,L'Altavilloise,2014,12.5,750.0,279.0,Frankrike,Champagne,,Mousserande vin,Rosé,"Serveras vid 8-10°C som aperitif, till rätter av fisk, eller till lättare rätter av ljust kött.","Bärig, mycket frisk smak med inslag av smultron, ljust bröd, hallon, nougat och blodapelsin.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/cuvée-prestige-rosé-millésime-273501,https://product-cdn.systembolaget.se/productimages/24534105/24534105,Chardonnay---Pinot noir
Banderilleros Ecológico,Tempranillo Cabernet Sauvignon Merlot,Weinkellerei Hechtsheim,2019,14.0,750.0,84.0,Spanien,Kastilien-La Mancha,VdlT Castilla,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 16°C till grillade rätter av fläsk- eller lammkött.,"Fruktig smak med fatkaraktär, inslag av mörka körsbär, plommon, choklad, svarta vinbär, kaffe och vanilj.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/banderilleros-ecológico-278301,https://product-cdn.systembolaget.se/productimages/24519573/24519573,Cabernet sauvignon---Tempranillo---Merlot
Kleine Zalze,Chenin Blanc Chardonnay Sauvignon Blanc Viognier,Kleine Zalze,2020,13.5,750.0,99.0,Sydafrika,Western Cape,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk eller till kyckling.,"Nyanserad, fruktig, mycket frisk smak med inslag av päron, örter, persika, gröna äpplen och lime.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/kleine-zalze-2003501,https://product-cdn.systembolaget.se/productimages/24546367/24546367,Chardonnay---Chenin blanc---Sauvignon blanc---Viognier
Grand Tokaj,Szamorodni,Grand Tokaj,2017,11.0,500.0,129.0,Ungern,Tokaj,,Vitt vin,Sött,"Serveras vid cirka 10°C till grönmögelostar, gåslever eller till desserter.","Nyanserad, söt, något kryddig smak med inslag av torkade aprikoser, honung, saffran och apelsinskal. ",0.0%,66.66666666666666%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/grand-tokaj-468202,https://product-cdn.systembolaget.se/productimages/24538731/24538731,
Six Hats,Sauvignon Blanc,Piekenierskloof Wine Company,2020,12.5,750.0,79.0,Sydafrika,Western Cape,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Fruktig, aromatisk, mycket frisk smak med inslag av päron, svartvinbärsblad, passionsfrukt och citrus.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/six-hats-678501,https://product-cdn.systembolaget.se/productimages/24489833/24489833,Sauvignon blanc
Lievland,Lievland Syrah Mourvèdre Cinsault Grenache,Lievland Estate,2019,14.0,750.0,129.0,Sydafrika,Western Cape,Coastal Region,Rött vin,Fruktigt & Smakrikt,"Serveras vid 16-18°C till grillade rätter av lamm- eller nötkött, eller till smakrika vegetariska rätter.","Mycket fruktig smak med fatkaraktär, inslag av skogshallon, björnbär, choklad, örter , peppar och vanilj.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/lievland-657501,https://product-cdn.systembolaget.se/productimages/24500921/24500921,Syrah---Grenache---Mourvèdre---Cinsault
